Date,HSI,000001
2010/8/17,21137.42969,2671.893066
2010/8/18,21022.73047,2666.301025
2010/8/19,21072.46094,2687.979004
2010/8/20,20981.82031,2642.306885
2010/8/23,20889.00977,2639.365967
2010/8/24,20658.71094,2650.306885
2010/8/25,20634.98047,2596.580078
2010/8/26,20612.06055,2603.480957
2010/8/27,20597.34961,2610.741943
2010/8/30,20737.2207,2652.664063
2010/8/31,20536.49023,2638.798096
2010/9/1,20623.83008,2622.88208
2010/9/2,20868.91992,2655.775879
2010/9/3,20971.5,2655.394043
2010/9/6,21355.76953,2696.25
2010/9/7,21401.78906,2698.363037
2010/9/8,21088.85938,2695.291016
2010/9/9,21167.26953,2656.352051
2010/9/10,21257.39063,2663.208984
2010/9/13,21658.34961,2688.320068
2010/9/14,21696.03906,2688.521973
2010/9/15,21725.64063,2652.50293
2010/9/16,21691.44922,2602.465088
2010/9/17,21970.85938,2598.688965
2010/9/20,21977.33984,2588.712891
2010/9/21,22002.58984,2591.550049
2010/9/27,22340.83984,2627.967041
2010/9/28,22109.94922,2611.354004
2010/9/29,22378.66992,2610.677979
2010/9/30,22358.16992,2655.657959
2010/10/8,22944.17969,2738.743896
2010/10/11,23207.31055,2806.941895
2010/10/12,23121.69922,2841.406982
2010/10/13,23457.68945,2861.361084
2010/10/14,23852.16992,2879.635986
2010/10/15,23757.63086,2971.159912
2010/10/18,23469.38086,2955.227051
2010/10/19,23763.73047,3001.853027
2010/10/20,23556.5,3003.950928
2010/10/21,23649.48047,2983.531982
2010/10/22,23517.53906,2975.042969
2010/10/25,23627.91016,3051.417969
2010/10/26,23601.24023,3041.542969
2010/10/27,23164.58008,2997.048096
2010/10/28,23210.85938,2992.579102
2010/10/29,23096.32031,2978.834961
2010/11/1,23652.93945,3054.020996
2010/11/2,23671.41992,3045.434082
2010/11/3,24144.66992,3030.988037
2010/11/4,24535.63086,3086.938965
2010/11/5,24876.82031,3129.49707
2010/11/8,24964.36914,3159.511963
2010/11/9,24710.59961,3135
2010/11/10,24500.60938,3115.355957
2010/11/11,24700.30078,3147.743896
2010/11/12,24222.58008,2985.435059
2010/11/15,24027.17969,3014.413086
2010/11/16,23693.01953,2894.538086
2010/11/17,23214.46094,2838.856934
2010/11/18,23637.39063,2865.451904
2010/11/19,23605.71094,2888.565918
2010/11/22,23524.01953,2884.371094
2010/11/23,22896.14063,2828.281982
2010/11/24,23023.85938,2859.936035
2010/11/25,23054.67969,2898.260986
2010/11/26,22877.25,2871.697998
2010/11/29,23166.2207,2866.355957
2010/11/30,23007.99023,2820.180908
2010/12/1,23249.80078,2823.448975
2010/12/2,23448.7793,2843.606934
2010/12/3,23320.51953,2842.429932
2010/12/6,23237.68945,2857.177002
2010/12/7,23428.15039,2875.861084
2010/12/8,23092.51953,2848.545898
2010/12/9,23171.80078,2810.948975
2010/12/10,23162.91016,2841.040039
2010/12/13,23317.60938,2922.954102
2010/12/14,23431.18945,2927.076904
2010/12/15,22975.34961,2911.414063
2010/12/16,22668.7793,2898.137939
2010/12/17,22714.84961,2893.73999
2010/12/21,22993.85938,2904.11499
2010/12/22,23045.18945,2877.899902
2010/12/23,22902.9707,2855.219971
2010/12/24,22833.80078,2835.156982
2010/12/28,22621.73047,2732.98999
2010/12/29,22969.30078,2751.5271
2010/12/30,22999.33984,2759.574951
2010/12/31,23035.44922,2808.076904
2011/1/4,23668.48047,2852.647949
2011/1/5,23757.82031,2839.220947
2011/1/6,23786.30078,2824.197021
2011/1/7,23686.63086,2838.801025
2011/1/10,23527.25977,2791.809082
2011/1/11,23760.33984,2804.047119
2011/1/12,24125.60938,2821.304932
2011/1/13,24238.98047,2827.711914
2011/1/14,24283.23047,2791.343994
2011/1/17,24156.9707,2706.659912
2011/1/18,24153.98047,2708.979004
2011/1/19,24419.61914,2758.096924
2011/1/20,24003.69922,2677.6521
2011/1/21,23876.85938,2715.293945
2011/1/24,23801.7793,2695.718994
2011/1/25,23788.83008,2677.431885
2011/1/26,23843.24023,2708.813965
2011/1/27,23779.61914,2749.149902
2011/1/28,23617.01953,2752.75
2011/1/31,23447.33984,2790.694092
2011/2/1,23482.94922,2798.959961
2011/2/9,23164.0293,2774.064941
2011/2/10,22708.61914,2818.163086
2011/2/11,22828.91992,2827.327881
2011/2/14,23121.06055,2899.134033
2011/2/15,22899.7793,2899.237061
2011/2/16,23156.9707,2923.895996
2011/2/17,23301.83984,2926.964111
2011/2/18,23595.24023,2899.791992
2011/2/21,23485.41992,2932.246094
2011/2/22,22990.81055,2855.516113
2011/2/23,22906.90039,2862.63501
2011/2/24,22601.03906,2878.603027
2011/2/25,23012.36914,2878.564941
2011/2/28,23338.01953,2905.052979
2011/3/1,23396.41992,2918.919922
2011/3/2,23048.66016,2913.808105
2011/3/3,23122.41992,2902.978027
2011/3/4,23408.85938,2942.305908
2011/3/7,23313.18945,2996.210938
2011/3/8,23711.69922,2999.941895
2011/3/9,23810.10938,3002.154053
2011/3/10,23614.89063,2957.143066
2011/3/11,23249.7793,2933.795898
2011/3/14,23345.88086,2937.626953
2011/3/15,22678.25,2896.256104
2011/3/16,22700.88086,2930.803955
2011/3/17,22284.42969,2897.298096
2011/3/18,22300.23047,2906.88501
2011/3/21,22685.2207,2909.136963
2011/3/22,22857.90039,2919.14209
2011/3/23,22825.40039,2948.477051
2011/3/24,22915.2793,2946.706055
2011/3/25,23158.66992,2977.813965
2011/3/28,23068.18945,2984.004883
2011/3/29,23060.35938,2958.076904
2011/3/30,23451.42969,2955.770996
2011/3/31,23527.51953,2928.111084
2011/4/1,23801.90039,2967.409912
2011/4/6,24285.05078,3001.360107
2011/4/7,24281.80078,3007.908936
2011/4/8,24396.07031,3030.020996
2011/4/11,24303.07031,3022.746094
2011/4/12,23976.36914,3021.368896
2011/4/13,24135.0293,3050.396973
2011/4/14,24014,3042.63501
2011/4/15,24008.07031,3050.525879
2011/4/18,23830.31055,3057.329102
2011/4/19,23520.61914,2999.041016
2011/4/20,23896.09961,3007.037109
2011/4/21,24138.31055,3026.666992
2011/4/26,24007.38086,2938.980957
2011/4/27,23892.83984,2925.407959
2011/4/28,23805.63086,2887.042969
2011/4/29,23720.81055,2911.51001
2011/5/3,23633.25,2932.187988
2011/5/4,23315.24023,2866.01709
2011/5/5,23261.60938,2872.404053
2011/5/6,23159.14063,2863.885986
2011/5/9,23336,2872.459961
2011/5/11,23291.80078,2883.419922
2011/5/12,23073.75977,2844.083008
2011/5/13,23276.26953,2871.031006
2011/5/16,22960.63086,2849.066895
2011/5/17,22901.08008,2852.772949
2011/5/18,23011.14063,2872.770996
2011/5/19,23163.38086,2859.573975
2011/5/20,23199.39063,2858.458984
2011/5/23,22711.01953,2774.569092
2011/5/24,22730.7793,2767.055908
2011/5/25,22747.2793,2741.740967
2011/5/26,22900.78906,2736.5271
2011/5/27,23118.07031,2709.947021
2011/5/30,23184.32031,2706.361084
2011/5/31,23684.13086,2743.471924
2011/6/1,23626.42969,2743.572021
2011/6/2,23253.83984,2705.180908
2011/6/3,22949.56055,2728.02002
2011/6/7,22868.66992,2744.300049
2011/6/8,22661.63086,2750.288086
2011/6/9,22609.83008,2703.344971
2011/6/10,22420.36914,2705.143066
2011/6/13,22508.08008,2700.378906
2011/6/14,22496,2730.040039
2011/6/15,22343.76953,2705.430908
2011/6/16,21953.10938,2664.281982
2011/6/17,21695.25977,2642.818115
2011/6/20,21599.50977,2621.25293
2011/6/21,21850.58984,2646.48291
2011/6/22,21859.9707,2649.321045
2011/6/23,21759.14063,2688.249023
2011/6/24,22171.94922,2746.210938
2011/6/27,22041.76953,2758.22998
2011/6/28,22061.7793,2759.201904
2011/6/29,22061.17969,2728.48291
2011/6/30,22398.09961,2762.075928
2011/7/4,22770.4707,2812.818115
2011/7/5,22747.94922,2816.354004
2011/7/6,22517.55078,2810.479004
2011/7/7,22530.17969,2794.26709
2011/7/8,22726.42969,2797.772949
2011/7/11,22347.23047,2802.691895
2011/7/12,21663.16016,2754.582031
2011/7/13,21926.88086,2795.476074
2011/7/14,21940.19922,2810.444092
2011/7/15,21875.38086,2820.168945
2011/7/18,21804.75,2816.687988
2011/7/19,21902.40039,2796.98291
2011/7/20,22003.68945,2794.205078
2011/7/21,21987.28906,2765.894043
2011/7/22,22444.80078,2770.790039
2011/7/25,22293.28906,2688.746094
2011/7/26,22572.08008,2703.025879
2011/7/27,22541.68945,2723.491943
2011/7/28,22570.74023,2708.7771
2011/7/29,22440.25,2701.729004
2011/8/1,22663.36914,2703.782959
2011/8/2,22421.46094,2679.259033
2011/8/3,21992.7207,2678.485107
2011/8/4,21884.74023,2684.039063
2011/8/5,20946.14063,2626.423096
2011/8/8,20490.57031,2526.815918
2011/8/9,19330.69922,2526.070068
2011/8/10,19783.66992,2549.176025
2011/8/11,19595.14063,2581.508057
2011/8/12,19620.00977,2593.173096
2011/8/15,20260.09961,2626.77002
2011/8/16,20212.08008,2608.166016
2011/8/17,20289.0293,2601.260986
2011/8/18,20016.26953,2559.471924
2011/8/19,19399.91992,2534.35791
2011/8/22,19486.86914,2515.863037
2011/8/23,19875.5293,2554.019043
2011/8/24,19466.78906,2541.091064
2011/8/25,19752.48047,2615.260986
2011/8/26,19582.88086,2612.187988
2011/8/29,19865.10938,2576.413086
2011/8/30,20204.16992,2566.594971
2011/8/31,20534.84961,2567.340088
2011/9/1,20585.33008,2556.041992
2011/9/2,20212.91016,2528.280029
2011/9/5,19616.40039,2478.739014
2011/9/6,19710.5,2470.523926
2011/9/7,20048,2516.090088
2011/9/8,19912.82031,2498.943115
2011/9/9,19866.63086,2497.75293
2011/9/14,19045.43945,2484.826904
2011/9/15,19181.5,2479.054932
2011/9/16,19455.31055,2482.343018
2011/9/19,18917.94922,2437.794922
2011/9/20,19014.80078,2447.754883
2011/9/21,18824.16992,2512.962891
2011/9/22,17911.94922,2443.055908
2011/9/23,17668.83008,2433.158936
2011/9/26,17407.80078,2393.183105
2011/9/27,18130.55078,2415.053955
2011/9/28,18011.06055,2392.062012
2011/9/30,17592.41016,2359.218994
2011/10/10,17711.06055,2344.787109
2011/10/11,18141.58984,2348.516113
2011/10/12,18329.46094,2420
2011/10/13,18757.81055,2438.790039
2011/10/14,18501.78906,2431.375
2011/10/17,18873.99023,2440.4021
2011/10/18,18076.46094,2383.485107
2011/10/19,18309.2207,2377.511963
2011/10/20,17983.09961,2331.365967
2011/10/21,18025.7207,2317.274902
2011/10/24,18771.82031,2370.333008
2011/10/25,18968.19922,2409.672119
2011/10/26,19066.53906,2427.47998
2011/10/27,19688.69922,2435.61499
2011/10/28,20019.24023,2473.409912
2011/10/31,19864.86914,2468.25
2011/11/1,19369.96094,2470.019043
2011/11/2,19733.71094,2504.10791
2011/11/3,19242.5,2508.090088
2011/11/4,19842.78906,2528.293945
2011/11/7,19677.89063,2509.799072
2011/11/8,19678.4707,2503.835938
2011/11/9,20014.42969,2524.918945
2011/11/10,18963.89063,2479.535889
2011/11/11,19137.16992,2481.083984
2011/11/14,19508.17969,2528.714111
2011/11/15,19348.43945,2529.760986
2011/11/16,18960.90039,2466.958984
2011/11/17,18817.4707,2463.045898
2011/11/18,18491.23047,2416.562012
2011/11/21,18225.84961,2415.129883
2011/11/22,18251.58984,2412.625
2011/11/23,17864.42969,2395.063965
2011/11/24,17935.09961,2397.553955
2011/11/25,17689.48047,2380.224121
2011/11/28,18037.81055,2383.033936
2011/11/29,18256.19922,2412.393066
2011/11/30,17989.34961,2333.414063
2011/12/1,19002.25977,2386.860107
2011/12/2,19040.39063,2360.664063
2011/12/5,19179.68945,2333.229004
2011/12/6,18942.23047,2325.905029
2011/12/7,19240.58008,2332.72998
2011/12/8,19107.81055,2329.820068
2011/12/9,18586.23047,2315.27002
2011/12/12,18575.66016,2291.544922
2011/12/13,18447.16992,2248.590088
2011/12/14,18354.42969,2228.524902
2011/12/15,18026.83984,2180.89502
2011/12/16,18285.39063,2224.840088
2011/12/19,18070.21094,2218.235107
2011/12/20,18080.19922,2215.929932
2011/12/21,18416.44922,2191.147949
2011/12/22,18378.23047,2186.295898
2011/12/23,18629.16992,2204.783936
2011/12/28,18518.66992,2170.012939
2011/12/29,18397.91992,2173.561035
2011/12/30,18434.39063,2199.416992
2012/1/4,18727.31055,2169.389893
2012/1/5,18813.41016,2148.451904
2012/1/6,18593.06055,2163.39502
2012/1/9,18865.7207,2225.889893
2012/1/10,19004.2793,2285.743896
2012/1/11,19151.93945,2276.045898
2012/1/12,19095.38086,2275.01001
2012/1/13,19204.41992,2244.580078
2012/1/16,19012.19922,2206.193115
2012/1/17,19627.75,2298.375
2012/1/18,19686.91992,2266.384033
2012/1/19,19942.94922,2296.074951
2012/1/20,20110.36914,2319.11792
2012/1/30,20160.41016,2285.038086
2012/1/31,20390.49023,2292.610107
2012/2/1,20333.36914,2268.080078
2012/2/2,20739.44922,2312.555908
2012/2/3,20756.98047,2330.405029
2012/2/6,20709.93945,2331.135986
2012/2/7,20699.18945,2291.9021
2012/2/8,21018.46094,2347.530029
2012/2/9,21010.00977,2349.589111
2012/2/10,20783.85938,2351.980957
2012/2/13,20887.40039,2351.854004
2012/2/14,20917.83008,2344.770996
2012/2/15,21365.23047,2366.701904
2012/2/16,21277.2793,2356.860107
2012/2/17,21491.61914,2357.180908
2012/2/20,21424.78906,2363.596924
2012/2/21,21478.7207,2381.429932
2012/2/22,21549.2793,2403.586914
2012/2/23,21380.99023,2409.553955
2012/2/24,21406.85938,2439.626953
2012/2/27,21217.85938,2447.056885
2012/2/28,21568.73047,2451.856934
2012/2/29,21680.08008,2428.487061
